Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Dominican Republic,1950,Total,Both Sexes,20,Census - de jure - complete tabulation,"Final figure, complete",1955,60692,
Dominican Republic,1950,Total,Both Sexes,21,Census - de jure - complete tabulation,"Final figure, complete",1955,33058,
Dominican Republic,1950,Total,Both Sexes,22,Census - de jure - complete tabulation,"Final figure, complete",1955,45661,
Dominican Republic,1950,Total,Both Sexes,23,Census - de jure - complete tabulation,"Final figure, complete",1955,38216,
Dominican Republic,1950,Total,Both Sexes,24,Census - de jure - complete tabulation,"Final figure, complete",1955,36766,
Dominican Republic,1950,Total,Both Sexes,25,Census - de jure - complete tabulation,"Final figure, complete",1955,48324,
Dominican Republic,1950,Total,Both Sexes,26,Census - de jure - complete tabulation,"Final figure, complete",1955,30588,
Dominican Republic,1950,Total,Both Sexes,27,Census - de jure - complete tabulation,"Final figure, complete",1955,26805,
Dominican Republic,1950,Total,Both Sexes,28,Census - de jure - complete tabulation,"Final figure, complete",1955,32976,
Dominican Republic,1950,Total,Both Sexes,29,Census - de jure - complete tabulation,"Final figure, complete",1955,18123,
Dominican Republic,1950,Total,Both Sexes,30,Census - de jure - complete tabulation,"Final figure, complete",1955,51998,
Dominican Republic,1950,Total,Both Sexes,31,Census - de jure - complete tabulation,"Final figure, complete",1955,12771,
Dominican Republic,1950,Total,Both Sexes,32,Census - de jure - complete tabulation,"Final figure, complete",1955,21513,
Dominican Republic,1950,Total,Both Sexes,33,Census - de jure - complete tabulation,"Final figure, complete",1955,16779,
Dominican Republic,1950,Total,Both Sexes,34,Census - de jure - complete tabulation,"Final figure, complete",1955,16568,
Dominican Republic,1950,Total,Both Sexes,35,Census - de jure - complete tabulation,"Final figure, complete",1955,37651,
Dominican Republic,1950,Total,Both Sexes,36,Census - de jure - complete tabulation,"Final figure, complete",1955,20563,
Dominican Republic,1950,Total,Both Sexes,37,Census - de jure - complete tabulation,"Final figure, complete",1955,17254,
Dominican Republic,1950,Total,Both Sexes,38,Census - de jure - complete tabulation,"Final figure, complete",1955,25228,
Dominican Republic,1950,Total,Both Sexes,39,Census - de jure - complete tabulation,"Final figure, complete",1955,14935,
Dominican Republic,1950,Total,Both Sexes,40,Census - de jure - complete tabulation,"Final figure, complete",1955,46061,
Dominican Republic,1950,Total,Both Sexes,41,Census - de jure - complete tabulation,"Final figure, complete",1955,8760,
Dominican Republic,1950,Total,Both Sexes,42,Census - de jure - complete tabulation,"Final figure, complete",1955,14672,
Dominican Republic,1950,Total,Both Sexes,43,Census - de jure - complete tabulation,"Final figure, complete",1955,10629,
Dominican Republic,1950,Total,Both Sexes,44,Census - de jure - complete tabulation,"Final figure, complete",1955,10669,
Dominican Republic,1950,Total,Both Sexes,45,Census - de jure - complete tabulation,"Final figure, complete",1955,24816,
Dominican Republic,1950,Total,Both Sexes,46,Census - de jure - complete tabulation,"Final figure, complete",1955,10375,
Dominican Republic,1950,Total,Both Sexes,47,Census - de jure - complete tabulation,"Final figure, complete",1955,8792,
Dominican Republic,1950,Total,Both Sexes,48,Census - de jure - complete tabulation,"Final figure, complete",1955,14411,
Dominican Republic,1950,Total,Both Sexes,49,Census - de jure - complete tabulation,"Final figure, complete",1955,8778,
Dominican Republic,1950,Total,Both Sexes,50,Census - de jure - complete tabulation,"Final figure, complete",1955,33194,
Dominican Republic,1950,Total,Both Sexes,51,Census - de jure - complete tabulation,"Final figure, complete",1955,5738,
Dominican Republic,1950,Total,Both Sexes,52,Census - de jure - complete tabulation,"Final figure, complete",1955,8106,
Dominican Republic,1950,Total,Both Sexes,53,Census - de jure - complete tabulation,"Final figure, complete",1955,5989,
Dominican Republic,1950,Total,Both Sexes,54,Census - de jure - complete tabulation,"Final figure, complete",1955,6593,
Dominican Republic,1950,Total,Both Sexes,55,Census - de jure - complete tabulation,"Final figure, complete",1955,12598,
Dominican Republic,1950,Total,Both Sexes,56,Census - de jure - complete tabulation,"Final figure, complete",1955,7069,
Dominican Republic,1950,Total,Both Sexes,57,Census - de jure - complete tabulation,"Final figure, complete",1955,5246,
Dominican Republic,1950,Total,Both Sexes,58,Census - de jure - complete tabulation,"Final figure, complete",1955,7114,
Dominican Republic,1950,Total,Both Sexes,59,Census - de jure - complete tabulation,"Final figure, complete",1955,3916,
Dominican Republic,1950,Total,Both Sexes,60,Census - de jure - complete tabulation,"Final figure, complete",1955,23093,
Dominican Republic,1950,Total,Both Sexes,61,Census - de jure - complete tabulation,"Final figure, complete",1955,2561,
Dominican Republic,1950,Total,Both Sexes,62,Census - de jure - complete tabulation,"Final figure, complete",1955,4747,
Dominican Republic,1950,Total,Both Sexes,63,Census - de jure - complete tabulation,"Final figure, complete",1955,4319,
Dominican Republic,1950,Total,Both Sexes,64,Census - de jure - complete tabulation,"Final figure, complete",1955,3756,
Dominican Republic,1950,Total,Both Sexes,65,Census - de jure - complete tabulation,"Final figure, complete",1955,7797,
Dominican Republic,1950,Total,Both Sexes,66,Census - de jure - complete tabulation,"Final figure, complete",1955,2987,
Dominican Republic,1950,Total,Both Sexes,67,Census - de jure - complete tabulation,"Final figure, complete",1955,2595,
Dominican Republic,1950,Total,Both Sexes,68,Census - de jure - complete tabulation,"Final figure, complete",1955,3133,
Dominican Republic,1950,Total,Both Sexes,69,Census - de jure - complete tabulation,"Final figure, complete",1955,1678,
Dominican Republic,1950,Total,Both Sexes,70,Census - de jure - complete tabulation,"Final figure, complete",1955,11885,
Dominican Republic,1950,Total,Both Sexes,71,Census - de jure - complete tabulation,"Final figure, complete",1955,1100,
Dominican Republic,1950,Total,Both Sexes,72,Census - de jure - complete tabulation,"Final figure, complete",1955,1801,
Dominican Republic,1950,Total,Both Sexes,73,Census - de jure - complete tabulation,"Final figure, complete",1955,1614,
Dominican Republic,1950,Total,Both Sexes,74,Census - de jure - complete tabulation,"Final figure, complete",1955,1404,
Dominican Republic,1950,Total,Both Sexes,75,Census - de jure - complete tabulation,"Final figure, complete",1955,3542,
Dominican Republic,1950,Total,Both Sexes,76,Census - de jure - complete tabulation,"Final figure, complete",1955,1278,
Dominican Republic,1950,Total,Both Sexes,77,Census - de jure - complete tabulation,"Final figure, complete",1955,897,
Dominican Republic,1950,Total,Both Sexes,78,Census - de jure - complete tabulation,"Final figure, complete",1955,1334,
Dominican Republic,1950,Total,Both Sexes,79,Census - de jure - complete tabulation,"Final figure, complete",1955,963,
Dominican Republic,1950,Total,Both Sexes,80,Census - de jure - complete tabulation,"Final figure, complete",1955,6202,
Dominican Republic,1950,Total,Both Sexes,81,Census - de jure - complete tabulation,"Final figure, complete",1955,435,
Dominican Republic,1950,Total,Both Sexes,82,Census - de jure - complete tabulation,"Final figure, complete",1955,698,
Dominican Republic,1950,Total,Both Sexes,83,Census - de jure - complete tabulation,"Final figure, complete",1955,493,
Dominican Republic,1950,Total,Both Sexes,84,Census - de jure - complete tabulation,"Final figure, complete",1955,594,
Dominican Republic,1950,Total,Both Sexes,85,Census - de jure - complete tabulation,"Final figure, complete",1955,1544,
Dominican Republic,1950,Total,Both Sexes,86,Census - de jure - complete tabulation,"Final figure, complete",1955,903,
Dominican Republic,1950,Total,Both Sexes,87,Census - de jure - complete tabulation,"Final figure, complete",1955,413,
Dominican Republic,1950,Total,Both Sexes,88,Census - de jure - complete tabulation,"Final figure, complete",1955,414,
Dominican Republic,1950,Total,Both Sexes,89,Census - de jure - complete tabulation,"Final figure, complete",1955,326,
Dominican Republic,1950,Total,Both Sexes,90,Census - de jure - complete tabulation,"Final figure, complete",1955,2168,
Dominican Republic,1950,Total,Both Sexes,91,Census - de jure - complete tabulation,"Final figure, complete",1955,102,
Dominican Republic,1950,Total,Both Sexes,92,Census - de jure - complete tabulation,"Final figure, complete",1955,207,
Dominican Republic,1950,Total,Both Sexes,93,Census - de jure - complete tabulation,"Final figure, complete",1955,151,
Dominican Republic,1950,Total,Both Sexes,94,Census - de jure - complete tabulation,"Final figure, complete",1955,136,
Dominican Republic,1950,Total,Both Sexes,95,Census - de jure - complete tabulation,"Final figure, complete",1955,493,
Dominican Republic,1950,Total,Both Sexes,96,Census - de jure - complete tabulation,"Final figure, complete",1955,219,
Dominican Republic,1950,Total,Both Sexes,97,Census - de jure - complete tabulation,"Final figure, complete",1955,119,
Dominican Republic,1950,Total,Both Sexes,98,Census - de jure - complete tabulation,"Final figure, complete",1955,212,
Dominican Republic,1950,Total,Both Sexes,99,Census - de jure - complete tabulation,"Final figure, complete",1955,127,
Dominican Republic,1950,Total,Both Sexes,43834,Census - de jure - complete tabulation,"Final figure, complete",1955,297277,
Dominican Republic,1950,Urban,Both Sexes,43834,Census - de jure - complete tabulation,"Final figure, complete",1966,58249,
Dominican Republic,1950,Rural,Both Sexes,43834,Census - de jure - complete tabulation,"Final figure, complete",1966,239028,
Dominican Republic,1950,Total,Both Sexes,43960,Census - de jure - complete tabulation,"Final figure, complete",1955,297765,
Dominican Republic,1950,Urban,Both Sexes,43960,Census - de jure - complete tabulation,"Final figure, complete",1966,56571,
Dominican Republic,1950,Rural,Both Sexes,43960,Census - de jure - complete tabulation,"Final figure, complete",1966,241194,
Dominican Republic,1950,Total,Both Sexes,44118,Census - de jure - complete tabulation,"Final figure, complete",1955,276840,
Dominican Republic,1950,Urban,Both Sexes,44118,Census - de jure - complete tabulation,"Final figure, complete",1966,57228,
Dominican Republic,1950,Rural,Both Sexes,44118,Census - de jure - complete tabulation,"Final figure, complete",1966,219612,
Dominican Republic,1950,Total,Both Sexes,100 +,Census - de jure - complete tabulation,"Final figure, complete",1955,1156,
Dominican Republic,1950,Total,Both Sexes,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",1955,225746,
Dominican Republic,1950,Urban,Both Sexes,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",1966,57666,
Dominican Republic,1950,Rural,Both Sexes,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",1966,168080,
Dominican Republic,1950,Total,Both Sexes,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",1955,214393,
Dominican Republic,1950,Urban,Both Sexes,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",1966,60167,
Dominican Republic,1950,Rural,Both Sexes,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",1966,154226,
Dominican Republic,1950,Total,Both Sexes,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",1955,156816,
Dominican Republic,1950,Urban,Both Sexes,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",1966,44777,
Dominican Republic,1950,Rural,Both Sexes,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",1966,112039,
Dominican Republic,1950,Total,Both Sexes,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",1955,119629,
Dominican Republic,1950,Urban,Both Sexes,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",1966,33067,
Dominican Republic,1950,Rural,Both Sexes,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",1966,86562,
Dominican Republic,1950,Total,Both Sexes,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",1955,115631,
Dominican Republic,1950,Urban,Both Sexes,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",1966,31547,
Dominican Republic,1950,Rural,Both Sexes,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",1966,84084,
Dominican Republic,1950,Total,Both Sexes,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",1955,90791,
Dominican Republic,1950,Urban,Both Sexes,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",1966,23804,
Dominican Republic,1950,Rural,Both Sexes,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",1966,66987,
Dominican Republic,1950,Total,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",1955,67172,
Dominican Republic,1950,Urban,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",1966,18373,
Dominican Republic,1950,Rural,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",1966,48799,
Dominican Republic,1950,Total,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",1955,59620,
Dominican Republic,1950,Urban,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",1966,15324,
Dominican Republic,1950,Rural,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",1966,44296,
Dominican Republic,1950,Total,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",1955,35943,
Dominican Republic,1950,Urban,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",1966,9815,
Dominican Republic,1950,Rural,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",1966,26128,
Dominican Republic,1950,Total,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",1955,38476,
Dominican Republic,1950,Urban,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",1966,8963,
Dominican Republic,1950,Rural,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",1966,29513,
Dominican Republic,1950,Total,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",1955,18190,
Dominican Republic,1950,Urban,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",1966,5216,
Dominican Republic,1950,Rural,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",1966,12974,
Dominican Republic,1950,Total,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",1955,17804,
Dominican Republic,1950,Urban,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",1966,4236,
Dominican Republic,1950,Rural,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",1966,13568,
Dominican Republic,1950,Total,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",1955,8014,
Dominican Republic,1950,Urban,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",1966,2266,
Dominican Republic,1950,Rural,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",1966,5748,
Dominican Republic,1950,Total,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",1955,8422,
Dominican Republic,1950,Urban,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",1966,1799,
Dominican Republic,1950,Rural,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",1966,6623,
Dominican Republic,1950,Total,Both Sexes,85 +,Census - de jure - complete tabulation,"Final figure, complete",1955,8690,
Dominican Republic,1950,Urban,Both Sexes,85 +,Census - de jure - complete tabulation,"Final figure, complete",1966,1915,
Dominican Republic,1950,Rural,Both Sexes,85 +,Census - de jure - complete tabulation,"Final figure, complete",1966,6775,
Dominican Republic,1950,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",1955,2135872,
Dominican Republic,1950,Urban,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",1966,508408,
Dominican Republic,1950,Rural,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",1966,1627464,
Dominican Republic,1950,Total,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",1955,89,
Dominican Republic,1950,Urban,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",1966,0,
Dominican Republic,1950,Rural,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",1966,89,
Dominican Republic,1950,Total,Female,0,Census - de jure - complete tabulation,"Final figure, complete",1955,39053,
Dominican Republic,1950,Urban,Female,0,Census - de jure - complete tabulation,"Final figure, complete",1966,8556,
Dominican Republic,1950,Rural,Female,0,Census - de jure - complete tabulation,"Final figure, complete",1966,30497,
Dominican Republic,1950,Total,Female,1,Census - de jure - complete tabulation,"Final figure, complete",1955,36357,
Dominican Republic,1950,Total,Female,2,Census - de jure - complete tabulation,"Final figure, complete",1955,37798,
Dominican Republic,1950,Total,Female,3,Census - de jure - complete tabulation,"Final figure, complete",1955,37143,
Dominican Republic,1950,Total,Female,4,Census - de jure - complete tabulation,"Final figure, complete",1955,36107,
Dominican Republic,1950,Total,Female,5,Census - de jure - complete tabulation,"Final figure, complete",1955,30617,
Dominican Republic,1950,Total,Female,6,Census - de jure - complete tabulation,"Final figure, complete",1955,32016,
Dominican Republic,1950,Total,Female,7,Census - de jure - complete tabulation,"Final figure, complete",1955,32212,
Dominican Republic,1950,Total,Female,8,Census - de jure - complete tabulation,"Final figure, complete",1955,28589,
Dominican Republic,1950,Total,Female,9,Census - de jure - complete tabulation,"Final figure, complete",1955,23627,
Dominican Republic,1950,Total,Female,10,Census - de jure - complete tabulation,"Final figure, complete",1955,30533,
Dominican Republic,1950,Total,Female,11,Census - de jure - complete tabulation,"Final figure, complete",1955,22440,
Dominican Republic,1950,Total,Female,12,Census - de jure - complete tabulation,"Final figure, complete",1955,31054,
Dominican Republic,1950,Total,Female,13,Census - de jure - complete tabulation,"Final figure, complete",1955,25160,
Dominican Republic,1950,Total,Female,14,Census - de jure - complete tabulation,"Final figure, complete",1955,25992,
Dominican Republic,1950,Total,Female,15,Census - de jure - complete tabulation,"Final figure, complete",1955,24775,
Dominican Republic,1950,Total,Female,16,Census - de jure - complete tabulation,"Final figure, complete",1955,25997,
Dominican Republic,1950,Total,Female,17,Census - de jure - complete tabulation,"Final figure, complete",1955,23374,
Dominican Republic,1950,Total,Female,18,Census - de jure - complete tabulation,"Final figure, complete",1955,28271,
Dominican Republic,1950,Total,Female,19,Census - de jure - complete tabulation,"Final figure, complete",1955,21777,
Dominican Republic,1950,Total,Female,20,Census - de jure - complete tabulation,"Final figure, complete",1955,33438,
Dominican Republic,1950,Total,Female,21,Census - de jure - complete tabulation,"Final figure, complete",1955,15315,
Dominican Republic,1950,Total,Female,22,Census - de jure - complete tabulation,"Final figure, complete",1955,22964,
Dominican Republic,1950,Total,Female,23,Census - de jure - complete tabulation,"Final figure, complete",1955,19062,
Dominican Republic,1950,Total,Female,24,Census - de jure - complete tabulation,"Final figure, complete",1955,18462,
Dominican Republic,1950,Total,Female,25,Census - de jure - complete tabulation,"Final figure, complete",1955,25930,
Dominican Republic,1950,Total,Female,26,Census - de jure - complete tabulation,"Final figure, complete",1955,14886,
Dominican Republic,1950,Total,Female,27,Census - de jure - complete tabulation,"Final figure, complete",1955,13196,
Dominican Republic,1950,Total,Female,28,Census - de jure - complete tabulation,"Final figure, complete",1955,16843,
Dominican Republic,1950,Total,Female,29,Census - de jure - complete tabulation,"Final figure, complete",1955,8341,
Dominican Republic,1950,Total,Female,30,Census - de jure - complete tabulation,"Final figure, complete",1955,28866,
Dominican Republic,1950,Total,Female,31,Census - de jure - complete tabulation,"Final figure, complete",1955,5262,
Dominican Republic,1950,Total,Female,32,Census - de jure - complete tabulation,"Final figure, complete",1955,10426,
Dominican Republic,1950,Total,Female,33,Census - de jure - complete tabulation,"Final figure, complete",1955,7659,
Dominican Republic,1950,Total,Female,34,Census - de jure - complete tabulation,"Final figure, complete",1955,7798,
Dominican Republic,1950,Total,Female,35,Census - de jure - complete tabulation,"Final figure, complete",1955,20055,
Dominican Republic,1950,Total,Female,36,Census - de jure - complete tabulation,"Final figure, complete",1955,9110,
Dominican Republic,1950,Total,Female,37,Census - de jure - complete tabulation,"Final figure, complete",1955,7759,
Dominican Republic,1950,Total,Female,38,Census - de jure - complete tabulation,"Final figure, complete",1955,12031,
Dominican Republic,1950,Total,Female,39,Census - de jure - complete tabulation,"Final figure, complete",1955,6539,
Dominican Republic,1950,Total,Female,40,Census - de jure - complete tabulation,"Final figure, complete",1955,25051,
Dominican Republic,1950,Total,Female,41,Census - de jure - complete tabulation,"Final figure, complete",1955,3282,
Dominican Republic,1950,Total,Female,42,Census - de jure - complete tabulation,"Final figure, complete",1955,6143,
Dominican Republic,1950,Total,Female,43,Census - de jure - complete tabulation,"Final figure, complete",1955,4345,
Dominican Republic,1950,Total,Female,44,Census - de jure - complete tabulation,"Final figure, complete",1955,4157,
Dominican Republic,1950,Total,Female,45,Census - de jure - complete tabulation,"Final figure, complete",1955,12587,
Dominican Republic,1950,Total,Female,46,Census - de jure - complete tabulation,"Final figure, complete",1955,4245,
Dominican Republic,1950,Total,Female,47,Census - de jure - complete tabulation,"Final figure, complete",1955,3749,
Dominican Republic,1950,Total,Female,48,Census - de jure - complete tabulation,"Final figure, complete",1955,6435,
Dominican Republic,1950,Total,Female,49,Census - de jure - complete tabulation,"Final figure, complete",1955,3605,
Dominican Republic,1950,Total,Female,50,Census - de jure - complete tabulation,"Final figure, complete",1955,17672,
Dominican Republic,1950,Total,Female,51,Census - de jure - complete tabulation,"Final figure, complete",1955,2285,
Dominican Republic,1950,Total,Female,52,Census - de jure - complete tabulation,"Final figure, complete",1955,3631,
Dominican Republic,1950,Total,Female,53,Census - de jure - complete tabulation,"Final figure, complete",1955,2544,
Dominican Republic,1950,Total,Female,54,Census - de jure - complete tabulation,"Final figure, complete",1955,2776,
Dominican Republic,1950,Total,Female,55,Census - de jure - complete tabulation,"Final figure, complete",1955,5821,
Dominican Republic,1950,Total,Female,56,Census - de jure - complete tabulation,"Final figure, complete",1955,2804,
Dominican Republic,1950,Total,Female,57,Census - de jure - complete tabulation,"Final figure, complete",1955,1929,
Dominican Republic,1950,Total,Female,58,Census - de jure - complete tabulation,"Final figure, complete",1955,2884,
Dominican Republic,1950,Total,Female,59,Census - de jure - complete tabulation,"Final figure, complete",1955,1456,
Dominican Republic,1950,Total,Female,60,Census - de jure - complete tabulation,"Final figure, complete",1955,12414,
Dominican Republic,1950,Total,Female,61,Census - de jure - complete tabulation,"Final figure, complete",1955,1007,
Dominican Republic,1950,Total,Female,62,Census - de jure - complete tabulation,"Final figure, complete",1955,1954,
Dominican Republic,1950,Total,Female,63,Census - de jure - complete tabulation,"Final figure, complete",1955,1918,
Dominican Republic,1950,Total,Female,64,Census - de jure - complete tabulation,"Final figure, complete",1955,1467,
Dominican Republic,1950,Total,Female,65,Census - de jure - complete tabulation,"Final figure, complete",1955,4076,
Dominican Republic,1950,Total,Female,66,Census - de jure - complete tabulation,"Final figure, complete",1955,1235,
Dominican Republic,1950,Total,Female,67,Census - de jure - complete tabulation,"Final figure, complete",1955,1227,
Dominican Republic,1950,Total,Female,68,Census - de jure - complete tabulation,"Final figure, complete",1955,1408,
Dominican Republic,1950,Total,Female,69,Census - de jure - complete tabulation,"Final figure, complete",1955,742,
Dominican Republic,1950,Total,Female,70,Census - de jure - complete tabulation,"Final figure, complete",1955,6892,
Dominican Republic,1950,Total,Female,71,Census - de jure - complete tabulation,"Final figure, complete",1955,454,
Dominican Republic,1950,Total,Female,72,Census - de jure - complete tabulation,"Final figure, complete",1955,907,
Dominican Republic,1950,Total,Female,73,Census - de jure - complete tabulation,"Final figure, complete",1955,778,
Dominican Republic,1950,Total,Female,74,Census - de jure - complete tabulation,"Final figure, complete",1955,597,
Dominican Republic,1950,Total,Female,75,Census - de jure - complete tabulation,"Final figure, complete",1955,1892,
Dominican Republic,1950,Total,Female,76,Census - de jure - complete tabulation,"Final figure, complete",1955,606,
Dominican Republic,1950,Total,Female,77,Census - de jure - complete tabulation,"Final figure, complete",1955,421,
Dominican Republic,1950,Total,Female,78,Census - de jure - complete tabulation,"Final figure, complete",1955,639,
Dominican Republic,1950,Total,Female,79,Census - de jure - complete tabulation,"Final figure, complete",1955,515,
Dominican Republic,1950,Total,Female,80,Census - de jure - complete tabulation,"Final figure, complete",1955,3668,
Dominican Republic,1950,Total,Female,81,Census - de jure - complete tabulation,"Final figure, complete",1955,200,
Dominican Republic,1950,Total,Female,82,Census - de jure - complete tabulation,"Final figure, complete",1955,336,
Dominican Republic,1950,Total,Female,83,Census - de jure - complete tabulation,"Final figure, complete",1955,247,
Dominican Republic,1950,Total,Female,84,Census - de jure - complete tabulation,"Final figure, complete",1955,274,
Dominican Republic,1950,Total,Female,85,Census - de jure - complete tabulation,"Final figure, complete",1955,858,
Dominican Republic,1950,Total,Female,86,Census - de jure - complete tabulation,"Final figure, complete",1955,497,
Dominican Republic,1950,Total,Female,87,Census - de jure - complete tabulation,"Final figure, complete",1955,212,
Dominican Republic,1950,Total,Female,88,Census - de jure - complete tabulation,"Final figure, complete",1955,211,
Dominican Republic,1950,Total,Female,89,Census - de jure - complete tabulation,"Final figure, complete",1955,164,
Dominican Republic,1950,Total,Female,90,Census - de jure - complete tabulation,"Final figure, complete",1955,1326,
Dominican Republic,1950,Total,Female,91,Census - de jure - complete tabulation,"Final figure, complete",1955,48,
Dominican Republic,1950,Total,Female,92,Census - de jure - complete tabulation,"Final figure, complete",1955,109,
Dominican Republic,1950,Total,Female,93,Census - de jure - complete tabulation,"Final figure, complete",1955,77,
Dominican Republic,1950,Total,Female,94,Census - de jure - complete tabulation,"Final figure, complete",1955,79,
Dominican Republic,1950,Total,Female,95,Census - de jure - complete tabulation,"Final figure, complete",1955,321,
Dominican Republic,1950,Total,Female,96,Census - de jure - complete tabulation,"Final figure, complete",1955,130,
Dominican Republic,1950,Total,Female,97,Census - de jure - complete tabulation,"Final figure, complete",1955,68,
Dominican Republic,1950,Total,Female,98,Census - de jure - complete tabulation,"Final figure, complete",1955,127,
Dominican Republic,1950,Total,Female,99,Census - de jure - complete tabulation,"Final figure, complete",1955,73,
Dominican Republic,1950,Total,Female,43834,Census - de jure - complete tabulation,"Final figure, complete",1955,147405,
